term,mean_active,mean_zero,delta
microsoft,0.0035052519356600946,0.000490298869100786,0.0030149530665593083
drugs,0.0031941347368725156,0.00019256799315463724,0.0030015667437178783
military,0.005006542813316734,0.0020061315089042525,0.003000411304412482
formulation,0.0033171605511873145,0.0003219352415747348,0.0029952253096125797
encompasses patients,0.0030802760229470777,9.904736235624768e-05,0.00298122866059083
property includes,0.00839434194870131,0.005414455416190721,0.0029798865325105887
interface,0.0032420428652792585,0.00026709292067567423,0.0029749499446035843
laboratories,0.003605189293806412,0.0006309727424055581,0.002974216551400854
manufacturing marketing,0.0032376036315708494,0.00026456676103385094,0.0029730368705369985
workflows,0.00346955586785887,0.0005029216445608776,0.002966634223297992
targeted,0.005523700900327816,0.0025577205516819157,0.0029659803486459003
property portfolio,0.0035147691602330283,0.0005537125144780937,0.0029610566457549344
key,0.01763020126302369,0.014683238024031087,0.002946963238992604
enhanced,0.006834693416625819,0.0038928877397106714,0.0029418056769151477
patents trademarks,0.0038129374059603467,0.0008745958617393445,0.002938341544221002
copyrights,0.004382115214781746,0.0014438994476006029,0.0029382157671811434
cellular,0.003455199792760982,0.0005181265488679227,0.002937073243893059
china,0.0049589485757080345,0.0020285528942853657,0.002930395681422669
satellite,0.003970848918950962,0.0010408091758032155,0.0029300397431477466
google,0.003520416498787357,0.0005932537298965428,0.0029271627688908144
vaccines,0.0030333752991101638,0.00010784471333969927,0.0029255305857704647
clinical trials,0.0031583479976129585,0.0002345704458794402,0.0029237775517335185
differentiated,0.0051731142591007594,0.002249557015804968,0.0029235572432957913
targets,0.012173008527714505,0.009255451350879735,0.0029175571768347702
pumps,0.0038218755381267144,0.0009100557927772266,0.002911819745349488
vehicles,0.0072808005194397235,0.004371204462565275,0.0029095960568744483
direct,0.014948496427683892,0.012045607544945236,0.0029028888827386558
license,0.004179182715962707,0.0012778428384440826,0.002901339877518624
cardiac,0.0029487900836489105,5.4741970457222134e-05,0.0028940481131916884
animal,0.004253948048297398,0.0013606138048236215,0.0028933342434737763
synthetic,0.003206008336595409,0.000314218586938822,0.002891789749656587
productivity,0.004217968480955119,0.0013467666247307878,0.0028712018562243313
billion,0.007150748983585607,0.004300859345624406,0.0028498896379612016
temperature,0.0037861236715388893,0.000953010710624104,0.0028331129609147853
liver,0.002874986521323074,4.571640609569618e-05,0.002829270115227378
native,0.0037659795538094493,0.0009375734515393256,0.0028284061022701237
platforms,0.011323813778927334,0.008513432261494229,0.0028103815174331057
europe,0.006779806432325758,0.003974734845509208,0.0028050715868165495
functionality,0.0036265519864331092,0.0008226405552072558,0.0028039114312258533
issued patents,0.0029454271348214617,0.00014240693369748877,0.002803020201123973
pending applications,0.002914797562159417,0.00011554903987563262,0.002799248522283784
open,0.004661678127039734,0.0018629844607185452,0.0027986936663211884
product sales,0.004458990770706201,0.0016622454489189553,0.002796745321787245
pd,0.002818162905123077,2.9677468312031136e-05,0.002788485436811046
surgeons,0.0029266040804193172,0.00013816065865339164,0.0027884434217659254
science,0.005217046788046589,0.002431306742814662,0.0027857400452319272
partners,0.008680524291149934,0.005896145348504378,0.002784378942645556
trial,0.003165322877877987,0.0003821054091161453,0.0027832174687618416
built,0.005234113927256544,0.0024548027110437485,0.002779311216212796
players,0.005266669352943868,0.0024896263387323625,0.002777043014211505
improved,0.003634355694295109,0.000859771572132057,0.002774584122163052
identification,0.003880092626591686,0.0011118221343659007,0.002768270492225785
global customer,0.003786438233126295,0.001018247123839918,0.0027681911092863765
life sciences,0.004265601639685776,0.0014981032870507748,0.002767498352635001
compounds,0.0029625979326696407,0.00019527653336594655,0.002767321399303694
milestone payments,0.002758097526139765,0.0,0.002758097526139765
