mdape,ci_lo,ci_hi,mape,n,model,multiple,k,run_date,status
0.6718820700666913,0.65592460384101,0.6863350316119933,29.922349235832776,13559,M3_Fusion,ln_v2a,20,2026-05-14,complete
0.5276704593279136,0.5172374380788218,0.5377436418181519,3.4737905968152933,13559,M3_Fusion,ln_m2b,5,2026-05-14,complete
0.4904460166300145,0.48075092823020316,0.5018199139262224,3.355037580313278,13559,M3_Fusion,ln_m2b,10,2026-05-14,complete
0.4862687866749762,0.4771694402759039,0.49734000151932756,3.31614211231074,13559,M3_Fusion,ln_m2b,15,2026-05-14,complete
0.4829509717378891,0.47438746903555323,0.4928752524561982,3.238140940393328,13559,M3_Fusion,ln_m2b,20,2026-05-14,complete
0.43836840372144803,0.4284956283628739,0.4491168621000017,3.6158535726629375,13559,M3_Fusion_RRF,ln_v2s,5,2026-05-14,complete
0.4227847288045549,0.412199519204464,0.4317025583068771,3.802668706169543,13559,M3_Fusion_RRF,ln_v2s,10,2026-05-14,complete
0.42309422457940277,0.41286120119679914,0.4338589122748805,4.02637919238003,13559,M3_Fusion_RRF,ln_v2s,15,2026-05-14,complete
0.4174563926366939,0.4094347986169955,0.4280750563110177,3.8586408675646218,13559,M3_Fusion_RRF,ln_v2s,20,2026-05-14,complete
0.6992807232148203,0.6809099241754314,0.7144146596249304,54.22179449794258,13559,M3_Fusion_RRF,ln_v2a,5,2026-05-14,complete
0.6768467785280108,0.6639226963902974,0.6898453776418902,17.866692425932932,13559,M3_Fusion_RRF,ln_v2a,10,2026-05-14,complete
0.6666150549503257,0.654070732314775,0.6809526307808469,23.724471778566325,13559,M3_Fusion_RRF,ln_v2a,15,2026-05-14,complete
0.6800239593390776,0.6667810568924488,0.6918426170815589,30.023353250148066,13559,M3_Fusion_RRF,ln_v2a,20,2026-05-14,complete
0.5306093015959754,0.5204410594937501,0.5419179834318725,3.3043686240347374,13559,M3_Fusion_RRF,ln_m2b,5,2026-05-14,complete
0.49883152444151896,0.4881887451047327,0.5089355138670844,3.280662626138753,13559,M3_Fusion_RRF,ln_m2b,10,2026-05-14,complete
0.49278774965884,0.48366963869280594,0.5043743608919163,3.3525460123623545,13559,M3_Fusion_RRF,ln_m2b,15,2026-05-14,complete
0.4860345054893533,0.4789562655455677,0.4964649993886519,3.418175667207989,13559,M3_Fusion_RRF,ln_m2b,20,2026-05-14,complete
