focal_tic,focal_fyear,stratum,industry,market_cap,xrd,delta_m3_m1,delta_m2_m0,m3_wins_m1,jaccard_m1m2,regime
ACT,2021,R&D-Zero,Insurance,3365.9028000000003,,0.0,0.6374471945491644,0,0.05263157894736842,middle
ACT,2022,R&D-Zero,Insurance,3926.22948,,0.0,0.9009544268985884,0,0.05263157894736842,middle
ACT,2023,R&D-Zero,Insurance,4603.44816,,0.0,0.4469937839251399,0,0.1111111111111111,middle
ACT,2024,R&D-Zero,Insurance,4932.056840000001,,0.0,0.6656006711064024,0,0.05263157894736842,middle
ACTG,2024,R&D-Active,Trading,416.85266,0.037,-0.7606178796486711,2.6402839317138893,0,0.0,M3 loses big
ACU,2020,R&D-Active,Medical Equipment,100.60407,0.251,-2.0220930818593157,8.9168711743883,0,0.0,M3 loses big
ACU,2021,R&D-Zero,Medical Equipment,118.6577,,0.0,8.228664309589874,0,0.0,middle
ACU,2022,R&D-Zero,Medical Equipment,77.48219999999999,,0.4575070967865471,2.957985924839527,1,0.0,M3 wins big
ACU,2023,R&D-Zero,Medical Equipment,156.2247,,-1.7739092749776404,5.647634044514561,0,0.0,M3 loses big
ACU,2024,R&D-Zero,Medical Equipment,140.13682,,-1.4625109166213734,1.1855841653766284,0,0.0,M3 loses big
ACVA,2021,R&D-Zero,Wholesale,2940.58488,,0.29455485683858185,0.9499041503675829,1,0.0,M3 wins big
ACVA,2022,R&D-Zero,Wholesale,1300.9237600000001,,0.0,1.3066498702414693,0,0.0,middle
ACVA,2023,R&D-Zero,Wholesale,2451.9063,,0.11296773834114093,1.2338559361085735,1,0.0,middle
ACVA,2024,R&D-Zero,Wholesale,3629.4264000000003,,0.04244331699659831,0.9117362483837077,1,0.0,middle
AD,2020,R&D-Zero,Communication,2639.34,,0.05738186519588062,0.1719980931654459,1,0.05263157894736842,middle
AD,2021,R&D-Zero,Communication,2710.72,,0.0,0.0,0,0.05263157894736842,middle
AD,2022,R&D-Zero,Communication,1772.2500000000002,,-0.19609691084748304,-0.34010638426541484,0,0.05263157894736842,M3 loses big
AD,2023,R&D-Zero,Communication,3530.9,,0.0,-0.05205376940154151,0,0.17647058823529413,middle
AD,2024,R&D-Zero,Communication,5331.2,,0.001449671145266028,0.08846258665642254,1,0.05263157894736842,middle
ADAM,2020,R&D-Zero,Trading,1393.87536,0.0,-0.16761382751587448,0.07369945155887503,0,0.05263157894736842,M3 loses big
ADAM,2021,R&D-Zero,Trading,1411.3866,0.0,0.2252370168906715,-0.23062069782777905,1,0.0,M3 wins big
ADAM,2022,R&D-Zero,Trading,933.824,0.0,0.14715930744637973,0.12354540232143174,1,0.0,M3 wins big
ADAM,2023,R&D-Zero,Trading,773.4577499999999,0.0,0.028063380751096975,0.12923726534398425,1,0.0,middle
ADAM,2024,R&D-Zero,Trading,548.8845,0.0,0.024944208246280408,0.08067096204750276,1,0.0,middle
ADBE,2020,R&D-Active,Computer Software,229187.13,2188.0,0.0,-0.12371111524125408,0,0.0,middle
ADBE,2021,R&D-Active,Computer Software,318178.75,2540.0,0.06362961829129404,-0.1344131299445237,1,0.0,middle
ADBE,2022,R&D-Active,Computer Software,159357.66,2987.0,0.12956585982625413,-0.10150249452955423,1,0.0,middle
ADBE,2023,R&D-Active,Computer Software,278009.55,3473.0,0.11540614103957769,-0.0011487480537802353,1,0.0,middle
ADBE,2024,R&D-Active,Computer Software,227525.12999999998,3944.0,0.0149625293146734,0.02506614421479525,1,0.0,middle
